Holdings details

Large-Cap ETF (VV)


Equity,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2648806,Northrop Grumman Corp.,NOC,0.15%,Aerospace & Defense,US,---,"$64,991,217.76","150,064"
,2142784,FedEx Corp.,FDX,0.15%,Air Freight & Logistics,US,---,"$64,796,126.84","248,242"
,2595708,3M Co.,MMM,0.15%,Industrial Conglomerates,US,---,"$64,594,018.50","605,550"
,2259101,Target Corp.,TGT,0.15%,Consumer Staples Merchandise Retail,US,---,"$64,146,676.40","506,888"
,2445063,Humana Inc.,HUM,0.15%,Managed Health Care,US,---,"$63,301,013.75","137,125"
,B4MGBG6,HCA Healthcare Inc.,HCA,0.15%,Health Care Facilities,US,---,"$62,811,223.00","226,510"
,2352118,Freeport-McMoRan Inc.,FCX,0.15%,Copper,US,---,"$62,809,759.35","1,573,785"
,B65LWX6,O'Reilly Automotive Inc.,ORLY,0.15%,Automotive Retail,US,---,"$62,802,030.40","66,832"
,2313405,Emerson Electric Co.,EMR,0.15%,Electrical Components & Equipment,US,---,"$61,651,285.50","627,494"
,2736035,US Bancorp,USB,0.14%,Diversified Banks,US,---,"$61,459,606.26","1,682,442"
,2365161,General Dynamics Corp.,GD,0.14%,Aerospace & Defense,US,---,"$61,414,680.56","270,979"
,2378534,McKesson Corp.,MCK,0.14%,Health Care Distributors,US,---,"$61,394,860.32","148,901"
,2690830,Pioneer Natural Resources Co.,PXD,0.14%,Oil & Gas Exploration & Production,US,---,"$61,072,824.12","256,684"
,2671501,Parker-Hannifin Corp.,PH,0.14%,Industrial Machinery & Supplies & Components,US,---,"$58,735,373.40","140,886"
,2749602,Roper Technologies Inc.,ROP,0.14%,Application Software,US,---,"$58,400,999.32","117,022"
,B0X7DZ3,Chipotle Mexican Grill Inc.,CMG,0.14%,Restaurants,US,---,"$58,348,292.40","30,285"
,2145084,Amphenol Corp.,APH,0.14%,Electronic Components,US,---,"$57,771,089.46","653,667"
,B78C4Y8,Phillips 66,PSX,0.14%,Oil & Gas Refining & Marketing,US,---,"$57,748,520.96","505,856"
,2252058,Moody's Corp.,MCO,0.14%,Financial Exchanges & Data,US,---,"$57,640,962.40","171,143"
,2210614,Marriott International Inc./MD,MAR,0.14%,"Hotels, Resorts & Cruise Lines",US,---,"$57,583,968.54","282,954"
,BNKJSM5,Marvell Technology Inc.,MRVL,0.13%,Semiconductors,US,---,"$54,780,280.50","940,434"
,B8K6ZD1,Workday Inc.,WDAY,0.13%,Application Software,US,---,"$54,733,770.00","223,860"
,2359506,Arthur J Gallagher & Co.,AJG,0.13%,Insurance Brokers,US,---,"$54,213,044.64","235,218"
,BMGYYH4,Airbnb Inc.,ABNB,0.13%,"Hotels, Resorts & Cruise Lines",US,---,"$53,586,103.20","407,344"
,2692665,PNC Financial Services Group Inc.,PNC,0.12%,Diversified Banks,US,---,"$52,883,603.36","438,032"
,BK4N0D7,Carrier Global Corp.,CARR,0.12%,Building Products,US,---,"$52,631,438.70","916,126"
,2065159,Autodesk Inc.,ADSK,0.12%,Application Software,US,---,"$52,318,582.02","235,733"
,2615468,Ford Motor Co.,F,0.12%,Automobile Manufacturers,US,---,"$52,314,203.35","4,312,795"
,B5BKPQ4,Motorola Solutions Inc.,MSI,0.12%,Communications Equipment,US,---,"$52,228,773.31","184,183"
,B11FJK3,TransDigm Group Inc.,TDG,0.12%,Aerospace & Defense,US,---,"$51,761,681.80","57,268"
,2304227,Ecolab Inc.,ECL,0.12%,Specialty Chemicals,US,---,"$51,691,232.01","281,221"
,2041364,Valero Energy Corp.,VLO,0.12%,Oil & Gas Refining & Marketing,US,---,"$51,538,864.20","396,758"
,BK9ZQ96,Trane Technologies plc,TT,0.12%,Building Products,US,---,"$51,395,667.18","250,393"
,2641894,Norfolk Southern Corp.,NSC,0.12%,Rail Transportation,US,---,"$51,215,598.20","249,820"
,2065955,AutoZone Inc.,AZO,0.12%,Automotive Retail,US,---,"$51,117,678.02","20,194"
,2567116,Edwards Lifesciences Corp.,EW,0.12%,Health Care Equipment,US,---,"$50,877,326.28","665,324"
,BN33VM5,Arista Networks Inc.,ANET,0.12%,Communications Equipment,US,---,"$49,541,564.80","253,760"
,2592174,Microchip Technology Inc.,MCHP,0.12%,Semiconductors,US,---,"$49,201,471.44","601,191"
